Name,Formula
PE(16:0_21:1),C42 H82 O8 N1 P1
PE(16:0_22:6),C43 H74 O8 N1 P1
PE(16:0_23:0),C44 H88 O8 N1 P1
PE(16:0e),C21 H44 O7 N1 P1
PE(16:0e_16:1),C37 H74 O7 N1 P1
PE(16:0e_18:1),C39 H78 O7 N1 P1
PE(16:0e_18:2),C39 H76 O7 N1 P1
PE(16:0p_18:1),C39 H76 O7 N1 P1
PE(16:1_14:0),C35 H68 O8 N1 P1
PE(16:1_16:1),C37 H70 O8 N1 P1
PE(16:1_17:0),C38 H74 O8 N1 P1
PE(16:1_18:1),C39 H74 O8 N1 P1
PE(16:1_18:2),C39 H72 O8 N1 P1
PE(16:1_18:3),C39 H70 O8 N1 P1
PE(16:1_19:0),C40 H78 O8 N1 P1
PE(16:1_20:1),C41 H78 O8 N1 P1
PE(16:1_21:1),C42 H80 O8 N1 P1
PE(16:1_22:6),C43 H72 O8 N1 P1
PE(16:1e_18:1),C39 H76 O7 N1 P1
PE(16:2_18:0),C39 H74 O8 N1 P1
PE(16:2_19:1),C40 H74 O8 N1 P1
PE(16:3_18:2),C39 H68 O8 N1 P1
PE(16:3_20:4),C41 H68 O8 N1 P1
PE(17:0_14:1),C36 H70 O8 N1 P1
PE(17:0_18:1),C40 H78 O8 N1 P1
PE(17:0_18:3),C40 H74 O8 N1 P1
PE(17:0_19:0),C41 H82 O8 N1 P1
PE(17:0_21:1),C43 H84 O8 N1 P1
PE(17:0e),C22 H46 O7 N1 P1
PE(17:1_16:0),C38 H74 O8 N1 P1
PE(17:1_18:1),C40 H76 O8 N1 P1
PE(17:1_20:5),C42 H72 O8 N1 P1
PE(17:1e),C22 H44 O7 N1 P1
PE(18:0),C23 H46 O8 N1 P1
PE(18:0_16:0),C39 H78 O8 N1 P1
PE(18:0_18:1),C41 H80 O8 N1 P1
PE(18:0_18:2),C41 H78 O8 N1 P1
PE(18:0_18:3),C41 H76 O8 N1 P1
PE(18:0e_16:1),C39 H78 O7 N1 P1
PE(18:0e_18:0),C41 H84 O7 N1 P1
PE(18:0e_18:1),C41 H82 O7 N1 P1
PE(18:0e_18:2),C41 H80 O7 N1 P1
PE(18:0e_18:3),C41 H78 O7 N1 P1
PE(18:0p_16:1),C39 H76 O7 N1 P1
PE(18:0p_18:1),C41 H80 O7 N1 P1
PE(18:0p_18:2),C41 H78 O7 N1 P1
PE(18:0p_18:3),C41 H76 O7 N1 P1
PE(18:1),C23 H44 O8 N1 P1
PE(18:1_18:1),C41 H78 O8 N1 P1
PE(18:1_18:2),C41 H76 O8 N1 P1
PE(18:1_18:3),C41 H74 O8 N1 P1
PE(18:1_20:5),C43 H74 O8 N1 P1
PE(18:1_21:0),C44 H86 O8 N1 P1
PE(18:1_21:1),C44 H84 O8 N1 P1
PE(18:1_22:0),C45 H88 O8 N1 P1
PE(18:1e_16:1),C39 H76 O7 N1 P1
PE(18:1e_18:1),C41 H80 O7 N1 P1
PE(18:1e_18:2),C41 H78 O7 N1 P1
PE(18:1e_18:3),C41 H76 O7 N1 P1
PE(18:1p_18:1),C41 H78 O7 N1 P1
PE(18:2_18:2),C41 H74 O8 N1 P1
PE(18:2e),C23 H44 O7 N1 P1
PE(18:2e_18:1),C41 H78 O7 N1 P1
PE(18:2e_19:0),C42 H82 O7 N1 P1
PE(18:2e_20:2),C43 H80 O7 N1 P1
PE(18:2e_20:3),C43 H78 O7 N1 P1
PE(18:2e_20:4),C43 H76 O7 N1 P1
PE(18:3_18:2),C41 H72 O8 N1 P1
PE(18:3_18:3),C41 H70 O8 N1 P1
PE(18:3_21:0),C44 H82 O8 N1 P1
PE(18:3_21:1),C44 H80 O8 N1 P1
PE(18:3e),C23 H42 O7 N1 P1
PE(18:4_18:2),C41 H70 O8 N1 P1
PE(18:4_18:3),C41 H68 O8 N1 P1
PE(19:0_18:1),C42 H82 O8 N1 P1
PE(19:0_18:2),C42 H80 O8 N1 P1
PE(19:0_18:3),C42 H78 O8 N1 P1
PE(19:1_16:0),C40 H78 O8 N1 P1
PE(19:1_16:1),C40 H76 O8 N1 P1
PE(19:1_17:0),C41 H80 O8 N1 P1
PE(19:1_18:1),C42 H80 O8 N1 P1
PE(19:1_18:4),C42 H74 O8 N1 P1
PE(19:1_20:5),C44 H76 O8 N1 P1
PE(20:0_16:1),C41 H80 O8 N1 P1
PE(20:0_18:1),C43 H84 O8 N1 P1
PE(20:0_18:2),C43 H82 O8 N1 P1
PE(20:0_18:3),C43 H80 O8 N1 P1
PE(20:0e),C25 H52 O7 N1 P1
PE(20:0e_14:2),C39 H76 O7 N1 P1
PE(20:0e_18:1),C43 H86 O7 N1 P1
PE(20:0e_18:2),C43 H84 O7 N1 P1
PE(20:0e_18:3),C43 H82 O7 N1 P1
PE(20:0p_18:1),C43 H84 O7 N1 P1
PE(20:1_18:1),C43 H82 O8 N1 P1
PE(20:1e),C25 H50 O7 N1 P1
PE(20:1e_18:1),C43 H84 O7 N1 P1
PE(20:1e_18:2),C43 H82 O7 N1 P1
PE(20:1p_18:1),C43 H82 O7 N1 P1
PE(20:2e_19:0),C44 H86 O7 N1 P1
PE(20:2e_19:1),C44 H84 O7 N1 P1
PE(20:3e),C25 H46 O7 N1 P1
PE(20:3e_19:0),C44 H84 O7 N1 P1
PE(22:4e),C27 H48 O7 N1 P1
PE(23:0_12:2),C40 H76 O8 N1 P1
PE(23:1_14:4),C42 H74 O8 N1 P1
PE(25:0_9:0),C39 H78 O8 N1 P1
PE(25:1_10:1),C40 H76 O8 N1 P1
PE(26:0_11:1),C42 H82 O8 N1 P1
PE(26:0_11:2),C42 H80 O8 N1 P1
PE(26:0_12:4),C43 H78 O8 N1 P1
PE(26:0_14:2),C45 H86 O8 N1 P1
PE(27:1_10:0),C42 H82 O8 N1 P1
PE(27:1_12:1),C44 H84 O8 N1 P1
PE(28:1_11:1),C44 H84 O8 N1 P1
PE(29:1_6:0),C40 H78 O8 N1 P1
PE(34:1),C39 H76 O8 N1 P1
PE(34:2),C39 H74 O8 N1 P1
PE(34:2e),C39 H76 O7 N1 P1
PE(35:2),C40 H76 O8 N1 P1
PE(36:0e),C41 H84 O7 N1 P1
PE(36:1e),C41 H82 O7 N1 P1
PE(37:0e),C42 H86 O7 N1 P1
PE(37:2e),C42 H82 O7 N1 P1
PE(37:3e),C42 H80 O7 N1 P1
PE(38:7e),C43 H74 O7 N1 P1
PE(6:0_12:1),C23 H44 O8 N1 P1
PE(8:0_10:0),C23 H46 O8 N1 P1
PE(8:0e_10:0),C23 H48 O7 N1 P1
PE(8:0e_10:2),C23 H44 O7 N1 P1
PE(8:0e_10:3),C23 H42 O7 N1 P1
PE(8:0e_8:0),C21 H44 O7 N1 P1
PE(8:0e_9:0),C22 H46 O7 N1 P1
PE(8:1e_10:0),C23 H46 O7 N1 P1
PE(8:1e_10:1),C23 H44 O7 N1 P1
PE(8:1e_10:2),C23 H42 O7 N1 P1
PE(8:1e_10:3),C23 H40 O7 N1 P1
PE(8:1e_8:0),C21 H42 O7 N1 P1
PE(8:1e_9:0),C22 H44 O7 N1 P1
PE(9:0_22:1),C36 H70 O8 N1 P1
PE(9:0_24:2),C38 H72 O8 N1 P1
PE(9:0_9:0),C23 H46 O8 N1 P1
PG(12:0e_19:0),C37 H75 O9 N0 P1
PG(12:0e_19:1),C37 H73 O9 N0 P1
PG(14:0e_19:0),C39 H79 O9 N0 P1
PG(14:1e_19:0),C39 H77 O9 N0 P1
PG(14:1e_19:1),C39 H75 O9 N0 P1
PG(15:0_16:0),C37 H73 O10 N0 P1
PG(16:0_16:1),C38 H73 O10 N0 P1
PG(16:0_18:1),C40 H77 O10 N0 P1
PG(16:0_18:2),C40 H75 O10 N0 P1
PG(16:0_18:3),C40 H73 O10 N0 P1
PG(16:0e_16:0),C38 H77 O9 N0 P1
PG(16:0e_19:1),C41 H81 O9 N0 P1
PG(16:1_16:1),C38 H71 O10 N0 P1
PG(16:1_18:1),C40 H75 O10 N0 P1
PG(16:1_18:2),C40 H73 O10 N0 P1
PG(16:1_18:3),C40 H71 O10 N0 P1
PG(16:1e_19:0),C41 H81 O9 N0 P1
PG(17:0_12:2),C35 H65 O10 N0 P1
PG(18:1_18:1),C42 H79 O10 N0 P1
PG(18:1_18:2),C42 H77 O10 N0 P1
PG(18:1_18:3),C42 H75 O10 N0 P1
PG(18:2_18:2),C42 H75 O10 N0 P1
PG(18:3_18:2),C42 H73 O10 N0 P1
PG(18:3_18:3),C42 H71 O10 N0 P1
PG(18:3e),C24 H43 O9 N0 P1
PG(24:2_10:2),C40 H71 O10 N0 P1
PG(26:5),C32 H53 O10 N0 P1
PG(28:5),C34 H57 O10 N0 P1
PG(28:6),C34 H55 O10 N0 P1
PG(29:1_14:1),C49 H93 O10 N0 P1
PG(34:3),C40 H73 O10 N0 P1
PG(34:4),C40 H71 O10 N0 P1
PG(36:3),C42 H77 O10 N0 P1
PG(40:2),C46 H87 O10 N0 P1
PG(40:3e),C46 H87 O9 N0 P1
PG(58:3),C64 H121 O10 N0 P1
PI(14:0_21:1),C44 H83 O13 N0 P1
PI(16:0_14:1),C39 H73 O13 N0 P1
PI(16:0_16:0),C41 H79 O13 N0 P1
PI(16:0_16:1),C41 H77 O13 N0 P1
PI(16:0_18:1),C43 H81 O13 N0 P1
PI(16:0_18:2),C43 H79 O13 N0 P1
PI(16:0_18:3),C43 H77 O13 N0 P1
PI(16:1_16:1),C41 H75 O13 N0 P1
PI(16:1_18:1),C43 H79 O13 N0 P1
PI(16:1_18:2),C43 H77 O13 N0 P1
PI(16:1_18:3),C43 H75 O13 N0 P1
PI(17:0_18:3),C44 H79 O13 N0 P1
PI(18:0_18:1),C45 H85 O13 N0 P1
PI(18:0_18:2),C45 H83 O13 N0 P1
PI(18:0_18:3),C45 H81 O13 N0 P1
PI(18:1_18:1),C45 H83 O13 N0 P1
PI(18:1_18:2),C45 H81 O13 N0 P1
PI(18:1_18:3),C45 H79 O13 N0 P1
PI(18:2_18:2),C45 H79 O13 N0 P1
PI(18:3_18:2),C45 H77 O13 N0 P1
PI(18:3_18:3),C45 H75 O13 N0 P1
PI(18:3e),C27 H47 O12 N0 P1
PI(30:1),C39 H73 O13 N0 P1
PI(34:4),C43 H75 O13 N0 P1
PI(34:4e),C43 H77 O12 N0 P1
PI(36:3),C45 H81 O13 N0 P1
PI(38:6),C47 H79 O13 N0 P1
PI(4:0_12:2),C25 H43 O13 N0 P1
PI(42:4),C51 H91 O13 N0 P1
PI(6:0_24:0),C39 H75 O13 N0 P1
PS(14:1e_10:0),C30 H58 O9 N1 P1
PS(14:1e_17:0),C37 H72 O9 N1 P1
PS(14:1e_19:1),C39 H74 O9 N1 P1
PS(15:0_19:0),C40 H78 O10 N1 P1
PS(16:0_17:0),C39 H76 O10 N1 P1
PS(16:0_18:1),C40 H76 O10 N1 P1
PS(16:0_18:2),C40 H74 O10 N1 P1
PS(16:0_18:3),C40 H72 O10 N1 P1
PS(16:0_21:0),C43 H84 O10 N1 P1
PS(16:0_21:1),C43 H82 O10 N1 P1
PS(16:1_16:1),C38 H70 O10 N1 P1
PS(16:1_18:1),C40 H74 O10 N1 P1
PS(16:1_18:2),C40 H72 O10 N1 P1
PS(16:1_18:3),C40 H70 O10 N1 P1
PS(16:1_20:1),C42 H78 O10 N1 P1
PS(16:1e),C22 H42 O9 N1 P1
PS(16:1e_8:0),C30 H58 O9 N1 P1
PS(16:2e_18:1),C40 H74 O9 N1 P1
PS(16:2e_18:2),C40 H72 O9 N1 P1
PS(16:3_18:0),C40 H72 O10 N1 P1
PS(18:0_16:1),C40 H76 O10 N1 P1
PS(18:0_18:1),C42 H80 O10 N1 P1
PS(18:0_18:3),C42 H76 O10 N1 P1
PS(18:1_18:1),C42 H78 O10 N1 P1
PS(18:1_18:2),C42 H76 O10 N1 P1
PS(18:1_18:3),C42 H74 O10 N1 P1
PS(18:1_20:2),C44 H80 O10 N1 P1
PS(18:1_20:4),C44 H76 O10 N1 P1
PS(18:1e_9:0),C33 H64 O9 N1 P1
PS(18:2_18:2),C42 H74 O10 N1 P1
PS(18:3_18:2),C42 H72 O10 N1 P1
PS(18:3_18:3),C42 H70 O10 N1 P1
PS(18:3_20:5),C44 H70 O10 N1 P1
PS(18:4_18:0),C42 H74 O10 N1 P1
PS(19:1_15:0),C40 H76 O10 N1 P1
PS(20:0_18:1),C44 H84 O10 N1 P1
PS(20:0e_14:0),C40 H80 O9 N1 P1
PS(20:1_18:1),C44 H82 O10 N1 P1
PS(20:2e),C26 H48 O9 N1 P1
PS(20:2e_18:3),C44 H78 O9 N1 P1
PS(20:3e),C26 H46 O9 N1 P1
PS(21:0),C27 H52 O10 N1 P1
PS(22:0_12:2),C40 H74 O10 N1 P1
PS(22:0_12:3),C40 H72 O10 N1 P1
PS(22:1_12:2),C40 H72 O10 N1 P1
PS(22:2_14:4),C42 H70 O10 N1 P1
PS(22:3_14:1),C42 H74 O10 N1 P1
PS(24:1e),C30 H58 O9 N1 P1
PS(26:2e),C32 H60 O9 N1 P1
PS(28:1_6:0),C40 H76 O10 N1 P1
PS(33:0),C39 H76 O10 N1 P1
PS(33:2),C39 H72 O10 N1 P1
PS(34:4),C40 H70 O10 N1 P1
PS(35:0),C41 H80 O10 N1 P1
PS(35:1),C41 H78 O10 N1 P1
PS(36:3),C42 H76 O10 N1 P1
PS(36:4),C42 H74 O10 N1 P1
PS(36:5),C42 H72 O10 N1 P1
PS(37:0),C43 H84 O10 N1 P1
PS(37:1),C43 H82 O10 N1 P1
PS(37:2),C43 H80 O10 N1 P1
PS(38:3),C44 H80 O10 N1 P1
PS(38:3e),C44 H82 O9 N1 P1
PS(38:4),C44 H78 O10 N1 P1
PS(38:4e),C44 H80 O9 N1 P1
PS(38:5),C44 H76 O10 N1 P1
PS(38:5e),C44 H78 O9 N1 P1
PS(38:6),C44 H74 O10 N1 P1
PS(38:8),C44 H70 O10 N1 P1
PS(39:1),C45 H86 O10 N1 P1
PS(39:2),C45 H84 O10 N1 P1
PS(39:2e),C45 H86 O9 N1 P1
PS(39:4),C45 H80 O10 N1 P1
SM(d18:1_19:1),C42 H83 O6 N2 P1
SM(d19:1_18:1),C42 H83 O6 N2 P1
SM(d20:0_15:0),C40 H83 O6 N2 P1
SM(d37:4),C42 H79 O6 N2 P1
SPH(d16:0),C16 H35 O2 N1
SPH(d18:0),C18 H39 O2 N1
SPH(d21:2),C21 H41 O2 N1
SPH(d22:0),C22 H47 O2 N1
SPH(t17:0),C17 H37 O3 N1
TG(10:0_10:1_18:1),C41 H74 O6
TG(10:0_18:1_16:0),C47 H88 O6
TG(10:0_18:1_18:3),C49 H86 O6
TG(10:0_18:2_16:1),C47 H84 O6
TG(11:0_12:2_17:0),C43 H78 O6
TG(11:0_14:0_18:1),C46 H86 O6
TG(11:0_16:0_18:1),C48 H90 O6
TG(11:0_18:2_16:0),C48 H88 O6
TG(11:0_6:0_6:0),C26 H48 O6
TG(11:0_8:0_19:0),C41 H78 O6
TG(11:0_9:0_20:5),C43 H72 O6
TG(12:0_11:4_20:4),C46 H72 O6
TG(12:0_11:4_20:5),C46 H70 O6
TG(12:0_12:0_12:0),C39 H74 O6
TG(12:0_12:0_8:0),C35 H66 O6
TG(12:0_14:0_12:0),C41 H78 O6
TG(12:0_18:2_11:1),C44 H78 O6
TG(12:0_18:3_18:2),C51 H88 O6
TG(12:0_22:2_14:1),C51 H92 O6
TG(12:0e_16:0_23:0),C54 H106 O5
TG(12:0e_16:0_23:1),C54 H104 O5
TG(12:0e_18:2_23:0),C56 H106 O5
TG(12:0e_22:1_19:1),C56 H106 O5
TG(12:0e_8:0_19:0),C42 H82 O5
TG(12:1e_11:3_19:1),C45 H78 O5
TG(12:1e_6:0_18:3),C39 H68 O5
TG(12:1e_6:0_18:4),C39 H66 O5
TG(12:1e_9:0_19:1),C43 H80 O5
TG(14:0_11:1_18:3),C46 H80 O6
TG(14:0_11:4_14:3),C42 H66 O6
TG(14:0_12:2_11:2),C40 H68 O6
TG(14:0_12:2_11:3),C40 H66 O6
TG(14:0_14:0_16:0),C47 H90 O6
TG(14:0_18:2_11:1),C46 H82 O6
TG(14:0_18:3_18:3),C53 H90 O6
TG(14:0e_10:0_12:3),C39 H70 O5
TG(14:0e_11:2_11:3),C39 H66 O5
TG(14:0e_9:0_18:1),C44 H84 O5
TG(14:1_11:4_18:1),C46 H76 O6
TG(14:1_11:4_18:2),C46 H74 O6
TG(14:1_17:1_16:1),C50 H90 O6
TG(14:1e_11:3_18:1),C46 H80 O5
TG(14:1e_11:3_18:2),C46 H78 O5
TG(15:0_10:2_13:0),C41 H74 O6
TG(15:0_11:4_14:3),C43 H68 O6
TG(15:0_16:0_16:0),C50 H96 O6
TG(15:0_16:0_16:1),C50 H94 O6
TG(15:0_16:1_16:0),C50 H94 O6
TG(15:0_16:1_18:3),C52 H92 O6
TG(15:0_18:1_16:0),C52 H98 O6
TG(15:0_18:2_18:3),C54 H94 O6
TG(15:0_18:3_18:3),C54 H92 O6
TG(16:0_10:0_16:0),C45 H86 O6
TG(16:0_10:0_16:1),C45 H84 O6
TG(16:0_10:0_18:1),C47 H88 O6
TG(16:0_10:1_16:0),C45 H84 O6
TG(16:0_10:1_18:1),C47 H86 O6
TG(16:0_10:1_18:2),C47 H84 O6
TG(16:0_10:1_18:3),C47 H82 O6
TG(16:0_10:2_11:2),C40 H68 O6
TG(16:0_10:2_16:1),C45 H80 O6
TG(16:0_10:2_18:2),C47 H82 O6
TG(16:0_10:4_16:1),C45 H76 O6
TG(16:0_11:1_16:0),C46 H86 O6
TG(16:0_11:1_18:1),C48 H88 O6
TG(16:0_11:1_20:1),C50 H92 O6
TG(16:0_11:2_14:2),C44 H76 O6
TG(16:0_11:2_14:3),C44 H74 O6
TG(16:0_11:2_14:4),C44 H72 O6
TG(16:0_11:3_14:1),C44 H76 O6
TG(16:0_11:3_14:3),C44 H72 O6
TG(16:0_11:3_16:0),C46 H82 O6
TG(16:0_11:4_18:3),C48 H78 O6
TG(16:0_12:0_12:0),C43 H82 O6
TG(16:0_12:0_14:0),C45 H86 O6
TG(16:0_12:0_16:0),C47 H90 O6
TG(16:0_12:0_16:1),C47 H88 O6
TG(16:0_12:0_18:1),C49 H92 O6
TG(16:0_12:0_18:3),C49 H88 O6
TG(16:0_12:1_16:1),C47 H86 O6
TG(16:0_12:1_18:1),C49 H90 O6
TG(16:0_12:1_18:3),C49 H86 O6
TG(16:0_12:2_11:2),C42 H72 O6
TG(16:0_12:2_11:3),C42 H70 O6
TG(16:0_12:2_12:3),C43 H72 O6
TG(16:0_12:4_12:1),C43 H72 O6
TG(16:0_12:4_14:0),C45 H78 O6
TG(16:0_12:4_18:1),C49 H84 O6
TG(16:0_13:0_18:1),C50 H94 O6
TG(16:0_14:0_12:0),C45 H86 O6
TG(16:0_14:0_15:0),C48 H92 O6
TG(16:0_14:0_16:1),C49 H92 O6
TG(16:0_14:2_11:3),C44 H74 O6
TG(16:0_14:2_11:4),C44 H72 O6
TG(16:0_14:2_18:3),C51 H88 O6
TG(16:0_14:3_11:2),C44 H74 O6
TG(16:0_14:4_11:2),C44 H72 O6
TG(16:0_16:0_14:0),C49 H94 O6
TG(16:0_16:0_16:0),C51 H98 O6
TG(16:0_16:0_16:1),C51 H96 O6
TG(16:0_16:0_18:0),C53 H102 O6
TG(16:0_16:0_18:1),C53 H100 O6
TG(16:0_16:0_18:2),C53 H98 O6
TG(16:0_16:0_18:3),C53 H96 O6
TG(16:0_16:0_20:0),C55 H106 O6
TG(16:0_16:0_20:1),C55 H104 O6
TG(16:0_16:0_6:0),C41 H78 O6
TG(16:0_16:1_10:0),C45 H84 O6
TG(16:0_16:1_10:2),C45 H80 O6
TG(16:0_16:1_10:4),C45 H76 O6
TG(16:0_16:1_11:1),C46 H84 O6
TG(16:0_16:1_12:0),C47 H88 O6
TG(16:0_16:1_14:0),C49 H92 O6
TG(16:0_16:1_16:0),C51 H96 O6
TG(16:0_16:1_16:1),C51 H94 O6
TG(16:0_16:1_17:0),C52 H98 O6
TG(16:0_16:1_18:1),C53 H98 O6
TG(16:0_16:1_18:2),C53 H96 O6
TG(16:0_16:1_6:0),C41 H76 O6
TG(16:0_16:1_8:0),C43 H80 O6
TG(16:0_17:0_16:1),C52 H98 O6
TG(16:0_17:0_18:1),C54 H102 O6
TG(16:0_17:1_18:1),C54 H100 O6
TG(16:0_18:1_10:1),C47 H86 O6
TG(16:0_18:1_10:2),C47 H84 O6
TG(16:0_18:1_10:3),C47 H82 O6
TG(16:0_18:1_11:0),C48 H90 O6
TG(16:0_18:1_12:0),C49 H92 O6
TG(16:0_18:1_14:0),C51 H96 O6
TG(16:0_18:1_14:3),C51 H90 O6
TG(16:0_18:1_16:0),C53 H100 O6
TG(16:0_18:1_16:1),C53 H98 O6
TG(16:0_18:1_17:0),C54 H102 O6
TG(16:0_18:1_18:0),C55 H104 O6
TG(16:0_18:1_18:1),C55 H102 O6
TG(16:0_18:1_18:2),C55 H100 O6
TG(16:0_18:1_18:3),C55 H98 O6
TG(16:0_18:1_20:0),C57 H108 O6
TG(16:0_18:1_21:0),C58 H110 O6
TG(16:0_18:1_22:6),C59 H100 O6
TG(16:0_18:1_23:1),C60 H112 O6
TG(16:0_18:1_24:0),C61 H116 O6
TG(16:0_18:1_6:0),C43 H80 O6
TG(16:0_18:2_10:1),C47 H84 O6
TG(16:0_18:2_10:3),C47 H80 O6
TG(16:0_18:2_10:4),C47 H78 O6
TG(16:0_18:2_12:0),C49 H90 O6
TG(16:0_18:2_13:0),C50 H92 O6
TG(16:0_18:2_18:1),C55 H100 O6
TG(16:0_18:2_18:2),C55 H98 O6
TG(16:0_18:3_10:3),C47 H78 O6
TG(16:0_18:3_12:0),C49 H88 O6
TG(16:0_18:3_14:2),C51 H88 O6
TG(16:0_18:3_6:0),C43 H76 O6
TG(16:0_21:0_18:2),C58 H108 O6
TG(16:0_23:1_18:1),C60 H112 O6
TG(16:0_24:0_16:0),C59 H114 O6
TG(16:0_6:0_12:1),C37 H68 O6
TG(16:0_6:0_18:1),C43 H80 O6
TG(16:0_8:0_18:1),C45 H84 O6
TG(16:0_9:0_11:2),C39 H70 O6
TG(16:0e_10:4_16:0),C45 H80 O5
TG(16:0e_12:3_13:0),C44 H80 O5
TG(16:0e_16:0_12:4),C47 H84 O5
TG(16:0e_16:0_19:0),C54 H106 O5
TG(16:0e_16:0_19:1),C54 H104 O5
TG(16:0e_16:0_20:3),C55 H102 O5
