Name,Formula
TG(16:0e_18:1_19:0),C56 H108 O5
TG(16:0e_19:1_17:0),C55 H106 O5
TG(16:1_10:0_16:0),C45 H84 O6
TG(16:1_10:0_16:1),C45 H82 O6
TG(16:1_10:1_18:3),C47 H80 O6
TG(16:1_10:2_16:0),C45 H80 O6
TG(16:1_10:3_18:3),C47 H76 O6
TG(16:1_10:4_16:1),C45 H74 O6
TG(16:1_11:1_14:0),C44 H80 O6
TG(16:1_11:1_16:0),C46 H84 O6
TG(16:1_11:1_16:1),C46 H82 O6
TG(16:1_11:1_18:2),C48 H84 O6
TG(16:1_11:1_18:3),C48 H82 O6
TG(16:1_11:2_14:3),C44 H72 O6
TG(16:1_11:3_12:2),C42 H68 O6
TG(16:1_11:3_14:3),C44 H70 O6
TG(16:1_11:3_14:4),C44 H68 O6
TG(16:1_12:0_14:0),C45 H84 O6
TG(16:1_12:0_16:1),C47 H86 O6
TG(16:1_12:0_18:2),C49 H88 O6
TG(16:1_12:1_12:1),C43 H76 O6
TG(16:1_12:2_11:3),C42 H68 O6
TG(16:1_13:0_16:0),C48 H90 O6
TG(16:1_14:0_12:0),C45 H84 O6
TG(16:1_14:0_18:3),C51 H90 O6
TG(16:1_14:0_6:0),C39 H72 O6
TG(16:1_14:1_16:1),C49 H88 O6
TG(16:1_14:2_11:3),C44 H72 O6
TG(16:1_14:2_18:3),C51 H86 O6
TG(16:1_14:3_11:3),C44 H70 O6
TG(16:1_16:1_10:0),C45 H82 O6
TG(16:1_16:1_12:0),C47 H86 O6
TG(16:1_16:1_14:0),C49 H90 O6
TG(16:1_16:1_15:0),C50 H92 O6
TG(16:1_16:1_16:0),C51 H94 O6
TG(16:1_16:1_16:1),C51 H92 O6
TG(16:1_16:1_17:0),C52 H96 O6
TG(16:1_16:1_17:1),C52 H94 O6
TG(16:1_16:1_18:1),C53 H96 O6
TG(16:1_16:1_18:2),C53 H94 O6
TG(16:1_16:1_18:3),C53 H92 O6
TG(16:1_16:1_6:0),C41 H74 O6
TG(16:1_16:1_8:0),C43 H78 O6
TG(16:1_17:1_14:1),C50 H90 O6
TG(16:1_17:1_16:0),C52 H96 O6
TG(16:1_17:1_16:1),C52 H94 O6
TG(16:1_17:1_18:1),C54 H98 O6
TG(16:1_17:1_18:2),C54 H96 O6
TG(16:1_18:1_10:0),C47 H86 O6
TG(16:1_18:1_12:0),C49 H90 O6
TG(16:1_18:1_16:0),C53 H98 O6
TG(16:1_18:1_17:1),C54 H98 O6
TG(16:1_18:1_18:1),C55 H100 O6
TG(16:1_18:1_18:2),C55 H98 O6
TG(16:1_18:1_18:3),C55 H96 O6
TG(16:1_18:1_6:0),C43 H78 O6
TG(16:1_18:1_8:0),C45 H82 O6
TG(16:1_18:2_10:0),C47 H84 O6
TG(16:1_18:2_11:1),C48 H84 O6
TG(16:1_18:2_12:0),C49 H88 O6
TG(16:1_18:2_15:0),C52 H94 O6
TG(16:1_18:2_16:0),C53 H96 O6
TG(16:1_18:2_16:1),C53 H94 O6
TG(16:1_18:2_18:3),C55 H94 O6
TG(16:1_18:2_6:0),C43 H76 O6
TG(16:1_18:3_11:1),C48 H82 O6
TG(16:1_18:3_16:1),C53 H92 O6
TG(16:1_18:3_17:1),C54 H94 O6
TG(16:1_18:3_18:1),C55 H96 O6
TG(16:1_6:0_18:1),C43 H78 O6
TG(16:1_6:0_20:1),C45 H82 O6
TG(16:1_9:0_16:0),C44 H82 O6
TG(16:1e_17:0_17:0),C53 H102 O5
TG(16:2_10:3_16:0),C45 H76 O6
TG(16:2_10:3_18:0),C47 H80 O6
TG(16:2_10:3_18:1),C47 H78 O6
TG(16:2_10:4_16:0),C45 H74 O6
TG(16:2_10:4_16:1),C45 H72 O6
TG(16:2_10:4_18:1),C47 H76 O6
TG(16:2_11:3_18:0),C48 H82 O6
TG(16:2_11:3_18:1),C48 H80 O6
TG(16:2_11:3_18:2),C48 H78 O6
TG(16:2_11:4_18:2),C48 H76 O6
TG(16:2_15:0_18:3),C52 H90 O6
TG(16:2_8:0_18:1),C45 H80 O6
TG(16:2e_11:3_12:2),C42 H68 O5
TG(16:2e_22:0_18:1),C59 H110 O5
TG(16:3_10:3_11:4),C40 H56 O6
TG(16:3_10:3_16:0),C45 H74 O6
TG(16:3_10:3_18:3),C47 H72 O6
TG(16:3_10:4_16:0),C45 H72 O6
TG(16:3_11:2_18:3),C48 H76 O6
TG(16:3_11:3_16:1),C46 H74 O6
TG(16:3_11:3_22:6),C52 H76 O6
TG(16:3_11:4_12:4),C42 H58 O6
TG(16:3_11:4_18:1),C48 H76 O6
TG(16:3_11:4_18:2),C48 H74 O6
TG(16:3_16:0_16:1),C51 H90 O6
TG(16:4_11:3_16:1),C46 H72 O6
TG(16:4_12:4_16:0),C47 H74 O6
TG(17:0_11:3_12:2),C43 H72 O6
TG(17:0_14:2_11:4),C45 H74 O6
TG(17:0_14:2_14:4),C48 H80 O6
TG(17:0_14:3_11:3),C45 H74 O6
TG(17:0_18:1_16:0),C54 H102 O6
TG(17:0_18:1_18:1),C56 H104 O6
TG(17:1_11:1_18:2),C49 H86 O6
TG(17:1_11:2_12:3),C43 H70 O6
TG(17:1_11:4_14:2),C45 H72 O6
TG(17:1_11:4_14:3),C45 H70 O6
TG(17:1_12:2_11:3),C43 H70 O6
TG(18:0_11:1_18:1),C50 H92 O6
TG(18:0_11:2_14:2),C46 H80 O6
TG(18:0_11:2_14:3),C46 H78 O6
TG(18:0_11:2_18:2),C50 H88 O6
TG(18:0_11:3_14:2),C46 H78 O6
TG(18:0_11:4_14:1),C46 H78 O6
TG(18:0_11:4_14:3),C46 H74 O6
TG(18:0_11:4_16:1),C48 H82 O6
TG(18:0_12:2_11:2),C44 H76 O6
TG(18:0_12:2_21:0),C54 H100 O6
TG(18:0_14:4_11:3),C46 H74 O6
TG(18:0_16:0_16:0),C53 H102 O6
TG(18:0_16:0_18:0),C55 H106 O6
TG(18:0_16:0_18:1),C55 H104 O6
TG(18:0_16:1_18:1),C55 H102 O6
TG(18:0_18:1_10:3),C49 H86 O6
TG(18:0_18:1_16:0),C55 H104 O6
TG(18:0_18:1_18:1),C57 H106 O6
TG(18:0_18:1_20:0),C59 H112 O6
TG(18:0_18:1_6:0),C45 H84 O6
TG(18:0_18:2_18:1),C57 H104 O6
TG(18:0_18:3_18:1),C57 H102 O6
TG(18:0_18:3_19:0),C58 H106 O6
TG(18:0_20:0_16:0),C57 H110 O6
TG(18:0_22:1_22:6),C65 H112 O6
TG(18:0e_16:0_18:1),C55 H106 O5
TG(18:0e_16:0_18:2),C55 H104 O5
TG(18:0e_16:0_19:1),C56 H108 O5
TG(18:0e_16:1_16:0),C53 H102 O5
TG(18:0e_16:1_16:1),C53 H100 O5
TG(18:0e_16:1_18:1),C55 H104 O5
TG(18:0e_16:1_18:2),C55 H102 O5
TG(18:0e_18:1_16:0),C55 H106 O5
TG(18:0e_18:1_18:1),C57 H108 O5
TG(18:0e_18:1_18:2),C57 H106 O5
TG(18:1_10:2_16:0),C47 H84 O6
TG(18:1_10:3_18:3),C49 H80 O6
TG(18:1_10:4_11:2),C42 H66 O6
TG(18:1_10:4_17:1),C48 H80 O6
TG(18:1_11:1_16:0),C48 H88 O6
TG(18:1_11:1_16:1),C48 H86 O6
TG(18:1_11:1_18:0),C50 H92 O6
TG(18:1_11:1_18:1),C50 H90 O6
TG(18:1_11:1_18:2),C50 H88 O6
TG(18:1_11:2_11:2),C43 H72 O6
TG(18:1_11:2_14:3),C46 H76 O6
TG(18:1_11:3_12:2),C44 H72 O6
TG(18:1_11:3_14:2),C46 H76 O6
TG(18:1_11:3_14:3),C46 H74 O6
TG(18:1_11:3_18:1),C50 H86 O6
TG(18:1_11:4_14:1),C46 H76 O6
TG(18:1_11:4_14:2),C46 H74 O6
TG(18:1_11:4_14:3),C46 H72 O6
TG(18:1_12:1_18:3),C51 H88 O6
TG(18:1_12:2_11:2),C44 H74 O6
TG(18:1_12:2_11:3),C44 H72 O6
TG(18:1_12:2_12:2),C45 H76 O6
TG(18:1_12:2_14:3),C47 H78 O6
TG(18:1_13:0_16:0),C50 H94 O6
TG(18:1_13:0_18:3),C52 H92 O6
TG(18:1_14:2_11:2),C46 H78 O6
TG(18:1_14:2_11:3),C46 H76 O6
TG(18:1_17:1_16:0),C54 H100 O6
TG(18:1_17:1_18:1),C56 H102 O6
TG(18:1_17:1_18:2),C56 H100 O6
TG(18:1_18:1_10:3),C49 H84 O6
TG(18:1_18:1_11:1),C50 H90 O6
TG(18:1_18:1_16:0),C55 H102 O6
TG(18:1_18:1_16:1),C55 H100 O6
TG(18:1_18:1_17:0),C56 H104 O6
TG(18:1_18:1_18:0),C57 H106 O6
TG(18:1_18:1_18:1),C57 H104 O6
TG(18:1_18:1_18:2),C57 H102 O6
TG(18:1_18:1_18:3),C57 H100 O6
TG(18:1_18:1_19:0),C58 H108 O6
TG(18:1_18:1_20:0),C59 H110 O6
TG(18:1_18:1_22:0),C61 H114 O6
TG(18:1_18:1_6:0),C45 H82 O6
TG(18:1_18:2_10:3),C49 H82 O6
TG(18:1_18:2_16:0),C55 H100 O6
TG(18:1_18:2_18:1),C57 H102 O6
TG(18:1_18:2_18:2),C57 H100 O6
TG(18:1_18:2_20:0),C59 H108 O6
TG(18:1_18:2_6:0),C45 H80 O6
TG(18:1_18:3_17:1),C56 H98 O6
TG(18:1_18:3_18:1),C57 H100 O6
TG(18:1_18:3_18:3),C57 H96 O6
TG(18:1_21:0_16:0),C58 H110 O6
TG(18:1_22:0_16:0),C59 H112 O6
TG(18:1_23:0_16:0),C60 H114 O6
TG(18:1_24:0_16:0),C61 H116 O6
TG(18:2_11:1_16:0),C48 H86 O6
TG(18:2_11:1_18:0),C50 H90 O6
TG(18:2_11:1_18:1),C50 H88 O6
TG(18:2_11:1_18:2),C50 H86 O6
TG(18:2_11:3_14:2),C46 H74 O6
TG(18:2_11:3_14:4),C46 H70 O6
TG(18:2_12:2_11:3),C44 H70 O6
TG(18:2_12:2_12:2),C45 H74 O6
TG(18:2_12:2_12:3),C45 H72 O6
TG(18:2_12:2_14:3),C47 H76 O6
TG(18:2_12:4_14:2),C47 H74 O6
TG(18:2_13:0_16:1),C50 H90 O6
TG(18:2_14:2_11:3),C46 H74 O6
TG(18:2_14:2_11:4),C46 H72 O6
TG(18:2_17:1_16:0),C54 H98 O6
TG(18:2_18:2_10:0),C49 H86 O6
TG(18:2_18:2_10:1),C49 H84 O6
TG(18:2_18:2_12:0),C51 H90 O6
TG(18:2_18:2_15:0),C54 H96 O6
TG(18:2_18:2_16:0),C55 H98 O6
TG(18:2_18:2_16:1),C55 H96 O6
TG(18:2_18:2_18:1),C57 H100 O6
TG(18:2_18:2_18:2),C57 H98 O6
TG(18:2_18:2_20:0),C59 H106 O6
TG(18:2_18:2_6:0),C45 H78 O6
TG(18:2e_16:0_17:0),C54 H102 O5
TG(18:2e_8:0_8:0),C37 H68 O5
TG(18:3_10:1_18:1),C49 H84 O6
TG(18:3_11:1_11:1),C43 H72 O6
TG(18:3_11:1_16:0),C48 H84 O6
TG(18:3_11:1_17:1),C49 H84 O6
TG(18:3_11:1_18:0),C50 H88 O6
TG(18:3_11:1_18:2),C50 H84 O6
TG(18:3_11:2_14:3),C46 H72 O6
TG(18:3_11:3_14:4),C46 H68 O6
TG(18:3_11:4_14:2),C46 H70 O6
TG(18:3_11:4_14:3),C46 H68 O6
TG(18:3_12:2_10:2),C43 H68 O6
TG(18:3_12:2_11:2),C44 H70 O6
TG(18:3_12:2_11:3),C44 H68 O6
TG(18:3_12:2_12:2),C45 H72 O6
TG(18:3_12:2_12:3),C45 H70 O6
TG(18:3_13:0_18:2),C52 H90 O6
TG(18:3_17:1_16:0),C54 H96 O6
TG(18:3_18:2_11:1),C50 H84 O6
TG(18:3_18:2_16:1),C55 H94 O6
TG(18:3_18:2_18:3),C57 H94 O6
TG(18:3_18:3_11:1),C50 H82 O6
TG(18:3_18:3_16:0),C55 H94 O6
TG(18:3_18:3_16:1),C55 H92 O6
TG(18:3_18:3_18:1),C57 H96 O6
TG(18:3_18:3_18:2),C57 H94 O6
TG(18:3_18:3_18:3),C57 H92 O6
TG(18:3e_10:2_20:5),C51 H80 O5
TG(18:3e_10:4_18:3),C49 H76 O5
TG(18:3e_11:4_11:4),C43 H62 O5
TG(18:3e_14:2_24:2),C59 H102 O5
TG(18:3e_17:0_17:0),C55 H102 O5
TG(18:3e_17:0_19:0),C57 H106 O5
TG(18:3e_19:1_17:1),C57 H102 O5
TG(18:3e_19:1_19:1),C59 H106 O5
TG(18:4_11:3_12:2),C44 H66 O6
TG(18:4_11:3_14:4),C46 H66 O6
TG(18:4_17:1_19:1),C57 H98 O6
TG(18:4_18:1_18:1),C57 H98 O6
TG(18:4_6:0_16:0),C43 H74 O6
TG(19:0_11:1_8:0),C41 H76 O6
TG(19:0_12:2_12:4),C46 H76 O6
TG(19:0_18:1_16:0),C56 H106 O6
TG(19:0_9:0_14:4),C45 H78 O6
TG(19:1_11:0_12:2),C45 H80 O6
TG(19:1_11:2_14:3),C47 H78 O6
TG(19:1_12:4_12:3),C46 H72 O6
TG(19:1_16:0_18:1),C56 H104 O6
TG(19:1_8:0_9:0),C39 H72 O6
TG(20:0_10:3_11:2),C44 H74 O6
TG(20:0_11:2_14:3),C48 H82 O6
TG(20:0_11:3_14:4),C48 H78 O6
TG(20:0_11:3_16:0),C50 H90 O6
TG(20:0_11:4_14:2),C48 H80 O6
TG(20:0_14:2_11:4),C48 H80 O6
TG(20:0_14:3_11:2),C48 H82 O6
TG(20:0_16:0_16:0),C55 H106 O6
TG(20:0_16:0_18:1),C57 H108 O6
TG(20:0_16:0_20:1),C59 H112 O6
TG(20:0_18:1_16:0),C57 H108 O6
TG(20:0_18:1_18:0),C59 H112 O6
TG(20:0_18:1_18:1),C59 H110 O6
TG(20:0_18:1_18:3),C59 H106 O6
TG(20:0e_16:0_18:1),C57 H110 O5
TG(20:0e_16:1_18:1),C57 H108 O5
TG(20:0e_18:1_16:1),C57 H108 O5
TG(20:0e_18:1_18:1),C59 H112 O5
TG(20:0e_18:3_18:3),C59 H104 O5
TG(20:0e_18:3_18:4),C59 H102 O5
TG(20:1_11:1_11:3),C45 H76 O6
TG(20:1_11:4_14:2),C48 H78 O6
TG(20:1_18:1_18:1),C59 H108 O6
TG(20:1e_16:1_18:1),C57 H106 O5
TG(20:1e_18:1_18:1),C59 H110 O5
TG(20:2e_10:4_14:4),C47 H72 O5
TG(20:3e_10:3_22:3),C55 H90 O5
TG(20:3e_12:3_20:0),C55 H96 O5
TG(20:3e_17:0_16:0),C56 H104 O5
TG(20:3e_18:1_18:1),C59 H106 O5
TG(20:4_11:3_14:1),C48 H76 O6
TG(20:4e_10:3_12:3),C45 H68 O5
TG(20:4e_10:3_14:4),C47 H70 O5
TG(20:4e_13:0_13:0),C49 H88 O5
TG(20:4e_17:1_17:1),C57 H100 O5
TG(20:5_11:2_14:2),C48 H74 O6
TG(20:5_11:3_12:2),C46 H68 O6
TG(20:5_11:3_14:4),C48 H68 O6
TG(20:5_11:4_14:2),C48 H70 O6
TG(22:1_10:3_11:1),C46 H78 O6
TG(22:1_24:2_16:1),C65 H118 O6
TG(22:1_24:2_18:1),C67 H122 O6
TG(22:5_11:3_14:3),C50 H74 O6
TG(22:6_10:1_12:4),C47 H68 O6
TG(22:6_11:1_12:4),C48 H70 O6
TG(25:0_16:0_18:1),C62 H118 O6
TG(25:0_16:1_16:0),C60 H114 O6
TG(25:0_18:1_16:0),C62 H118 O6
TG(25:0_6:0_11:1),C45 H84 O6
TG(26:0_16:0_16:0),C61 H118 O6
TG(26:0_16:0_18:1),C63 H120 O6
TG(26:0_16:1_16:0),C61 H116 O6
TG(26:0_16:1_16:1),C61 H114 O6
TG(26:0_18:1_16:0),C63 H120 O6
TG(26:0_18:1_18:1),C65 H122 O6
TG(26:0_18:1_18:2),C65 H120 O6
TG(26:0_18:2_16:0),C63 H118 O6
TG(26:0_9:0_10:4),C48 H84 O6
TG(26:1_16:0_18:1),C63 H118 O6
TG(26:1_16:1_16:1),C61 H112 O6
TG(26:1_18:1_16:0),C63 H118 O6
TG(26:1_18:1_16:1),C63 H116 O6
TG(26:1_18:1_18:1),C65 H120 O6
TG(26:1_18:2_18:1),C65 H118 O6
TG(26:1_6:0_9:0),C44 H82 O6
TG(27:0_18:1_16:0),C64 H122 O6
TG(28:0_16:0_18:1),C65 H124 O6
TG(28:0_18:1_16:0),C65 H124 O6
TG(28:0_18:1_18:1),C67 H126 O6
TG(28:0_18:1_20:0),C69 H132 O6
TG(28:0_22:1_16:0),C69 H132 O6
TG(28:1_10:4_18:1),C59 H102 O6
TG(28:1_18:1_16:0),C65 H122 O6
TG(28:1_18:1_18:1),C67 H124 O6
TG(28:1_20:1_22:1),C73 H136 O6
TG(28:1_23:1_24:2),C78 H144 O6
TG(28:1_6:0_11:1),C48 H88 O6
TG(29:0_16:0_18:1),C66 H126 O6
TG(29:0_22:1_16:0),C70 H134 O6
TG(30:0_16:0_18:1),C67 H128 O6
TG(30:0_16:1_18:1),C67 H126 O6
TG(30:0_18:1_16:0),C67 H128 O6
TG(30:0_18:1_18:1),C69 H130 O6
TG(30:0_18:2_16:0),C67 H126 O6
TG(30:1_16:0_19:0),C68 H130 O6
TG(30:1_18:1_16:0),C67 H126 O6
TG(39:7e),C42 H68 O5
TG(4:0_10:1_11:3),C28 H44 O6
TG(4:0_11:1_19:0),C37 H68 O6
TG(4:0_11:1_20:0),C38 H70 O6
TG(4:0_11:1_21:0),C39 H72 O6
TG(4:0_11:1_23:0),C41 H76 O6
TG(4:0_11:1_9:0),C27 H48 O6
TG(4:0_11:4_14:1),C32 H50 O6
TG(4:0_14:0_16:0),C37 H70 O6
TG(4:0_14:0_16:1),C37 H68 O6
TG(4:0_14:0_18:1),C39 H72 O6
TG(4:0_14:0_18:3),C39 H68 O6
TG(4:0_14:1_14:0),C35 H64 O6
TG(4:0_14:1_16:0),C37 H68 O6
TG(4:0_14:1_16:1),C37 H66 O6
TG(4:0_16:0_14:0),C37 H70 O6
TG(4:0_16:0_14:1),C37 H68 O6
TG(4:0_16:0_16:0),C39 H74 O6
TG(4:0_16:0_16:1),C39 H72 O6
TG(4:0_16:0_17:1),C40 H74 O6
TG(4:0_16:0_18:0),C41 H78 O6
TG(4:0_16:0_18:1),C41 H76 O6
TG(4:0_16:0_18:2),C41 H74 O6
TG(4:0_16:0_18:3),C41 H72 O6
TG(4:0_16:0_18:4),C41 H70 O6
TG(4:0_16:0_19:1),C42 H78 O6
TG(4:0_16:0_20:5),C43 H72 O6
TG(4:0_16:0_22:5),C45 H76 O6
TG(4:0_16:1_14:0),C37 H68 O6
TG(4:0_16:1_16:0),C39 H72 O6
TG(4:0_16:1_16:1),C39 H70 O6
TG(4:0_16:1_17:0),C40 H74 O6
TG(4:0_16:1_17:1),C40 H72 O6
TG(4:0_16:1_18:1),C41 H74 O6
TG(4:0_16:1_18:2),C41 H72 O6
TG(4:0_16:1_18:3),C41 H70 O6
TG(4:0_16:1_18:4),C41 H68 O6
TG(4:0_16:1_19:0),C42 H78 O6
TG(4:0_16:1_20:5),C43 H70 O6
TG(4:0_16:1_6:0),C29 H52 O6
TG(4:0_17:0_18:1),C42 H78 O6
TG(4:0_17:0_18:2),C42 H76 O6
TG(4:0_17:1_16:0),C40 H74 O6
TG(4:0_17:1_16:1),C40 H72 O6
TG(4:0_17:1_18:1),C42 H76 O6
TG(4:0_17:1_18:2),C42 H74 O6
TG(4:0_18:1_16:0),C41 H76 O6
TG(4:0_18:1_16:1),C41 H74 O6
TG(4:0_18:1_17:0),C42 H78 O6
TG(4:0_18:1_17:1),C42 H76 O6
TG(4:0_18:1_18:0),C43 H80 O6
TG(4:0_18:1_18:1),C43 H78 O6
TG(4:0_18:1_18:2),C43 H76 O6
TG(4:0_18:1_18:3),C43 H74 O6
TG(4:0_18:1_18:4),C43 H72 O6
TG(4:0_18:1_19:1),C44 H80 O6
TG(4:0_18:1_20:0),C45 H84 O6
TG(4:0_18:1_20:4),C45 H76 O6
TG(4:0_18:2_16:0),C41 H74 O6
TG(4:0_18:2_16:1),C41 H72 O6
TG(4:0_18:2_17:0),C42 H76 O6
TG(4:0_18:2_17:1),C42 H74 O6
TG(4:0_18:2_18:1),C43 H76 O6
TG(4:0_18:2_18:2),C43 H74 O6
TG(4:0_18:2_18:3),C43 H72 O6
TG(4:0_18:2_20:0),C45 H82 O6
TG(4:0_18:2_20:5),C45 H72 O6
TG(4:0_18:3_14:0),C39 H68 O6
TG(4:0_18:3_16:0),C41 H72 O6
TG(4:0_18:3_16:1),C41 H70 O6
TG(4:0_18:3_18:0),C43 H76 O6
TG(4:0_18:3_18:3),C43 H70 O6
TG(4:0_6:0_20:3),C33 H56 O6
TG(4:0_8:0_10:0),C25 H46 O6
TG(4:0_8:0_10:1),C25 H44 O6
TG(4:0_9:0_11:1),C27 H48 O6
TG(4:0_9:0_12:4),C28 H44 O6
TG(42:3e),C45 H82 O5
TG(45:7),C48 H78 O6
TG(53:0e),C56 H110 O5
TG(6:0_10:4_12:3),C31 H44 O6
TG(6:0_11:1_23:0),C43 H80 O6
TG(6:0_14:3_16:0),C39 H68 O6
TG(6:0_18:1_16:0),C43 H80 O6
TG(6:0_18:1_18:1),C45 H82 O6
TG(6:0_18:1_18:2),C45 H80 O6
TG(6:0_18:1_18:3),C45 H78 O6
TG(6:0_18:2_18:1),C45 H80 O6
TG(6:0_18:2_18:2),C45 H78 O6
TG(6:0_23:0_11:1),C43 H80 O6
TG(6:0_8:0_8:0),C25 H46 O6
TG(8:0_11:3_22:5),C44 H68 O6
TG(8:0_11:4_22:4),C44 H68 O6
TG(8:0_12:3_16:0),C39 H68 O6
TG(8:0_14:4_22:6),C47 H70 O6
TG(9:0_10:1_19:0),C41 H76 O6
TG(9:0_18:1_16:0),C46 H86 O6
TG(9:0_9:0_22:5),C43 H72 O6
